start,end,text,動作完成度,語言理解,主動參與度,情緒狀態,治療師回饋,患者反饋,非語言表現,持續時間,治療進度,備註
00:00,00:01,開始伸展,,,,,,,,,,
00:01,00:02,先放鬆你的肩膀,,,,,,,,,,
00:02,00:03,深呼吸一下,,1,,,,,,,,引導放鬆
00:04,00:05,吸氣,,1,1,,,,,,,呼吸練習
00:05,00:06,吐氣,,1,1,,,,,,,呼吸引導
00:07,00:08,很好，感覺怎麼樣？,,1,1,,,,,,,呼吸引導
00:09,00:10,我們來試試舉高手,,1,,,1,1,,,,詢問感受，等待患者回饋
00:11,00:12,慢慢地，別急,1,1,,,,,,,1,指示新動作
00:13,00:14,很好，維持一下,1,1,1,,1,,,,1,速度控制，安全提醒
00:15,00:16,放下來,1,,1,,1,,,1,1,維持動作
00:17,00:18,現在抬起你的左手,1,1,,,,,,,1,指示動作
00:19,00:20,保持平衡,,1,,,,,,,1,指示，提醒注意
00:21,00:22,很好,1,1,,,1,,,,1,正向回饋
00:23,00:24,放鬆一下,,1,,,1,,,,1,指示，緩和
00:25,00:26,現在來做腿部訓練,,1,,,,,,,1,切換訓練項目
00:27,00:28,抬起你的右腳,1,1,,,,,,,1,指示動作
00:29,00:30,維持三秒,1,1,,,,,,,1,指示動作，控制時間
00:31,00:32,放下來,1,1,,,,,,,1,指示動作
00:33,00:34,換左腳,1,1,,,,,,,1,指示動作，換邊
00:35,00:36,慢慢地抬起來,1,1,,,,,,,1,指示動作，強調速度
00:37,00:38,很好，繼續加油,,,,,,,,,,
00:39,00:40,我們再試一次,,,,,,,,,,
00:41,00:42,再抬一次右手,1,,1,,,,,,,指示患者執行特定動作
00:43,00:44,感覺還可以嗎？,,1,1,,,1,,,,治療師請求患者提供主觀感受
00:45,00:46,今天的訓練到這裡,,,,,,,,1,1,宣告療程結束
00:47,00:48,做得很好，下次再來！,1,,,,1,,,,1,正向回饋，鼓勵繼續
